CLASIFICACION	PRODUCTO	Cantidad (g)	Calorias USDA	Proteina (g)	Grasa (g)	Carbohidrato (g)	Fibra (g)	Sodio (mg)	Calorias Proteina	Calorias Grasa	Calorias Carbohidratos	Total Calorias	Total Calorias Sin Fibra
ADEREZOS/CONDIMENTOS/ESPECIAS	CURRY	 100,0 	325,0	14,3	14,0	55,8	53,2	52,0	57,2	126,0	223,2	406,4	300,0
ADEREZOS/CONDIMENTOS/ESPECIAS	ENELD0 SECO	 100,0 	265,0	9,0	4,3	68,9	42,5	25,0	36,0	38,5	275,6	350,1	265,1
ADEREZOS/CONDIMENTOS/ESPECIAS	FINAS HIERBAS (PEREJIL)	 100,0 	292,0	26,6	5,5	50,6	26,7	452,0	106,4	49,3	202,4	358,1	304,7
ADEREZOS/CONDIMENTOS/ESPECIAS	HIERBABUENA 	 100,0 	70,0	3,8	0,9	14,9	8,0	31,0	15,0	8,5	59,6	83,1	67,1
ADEREZOS/CONDIMENTOS/ESPECIAS	JENGIBRE (RAIZ)	 100,0 	80,0	1,8	0,8	17,8	2,0	13,0	7,3	6,8	71,2	85,2	81,2
ADEREZOS/CONDIMENTOS/ESPECIAS	JENGIBRE EN POLVO	 100,0 	335,0	9,0	4,2	71,6	14,1	27,0	35,9	38,2	286,4	360,5	332,3
ADEREZOS/CONDIMENTOS/ESPECIAS	LAUREL FRESCO	 100,0 	313,0	7,6	8,4	75,0	26,3	23,0	30,4	75,2	300,0	405,7	353,1
ADEREZOS/CONDIMENTOS/ESPECIAS	MANTEQUILLA DE MANI	 100,0 	611,0	26,0	50,0	21,0	14,0	296,0	104,0	450,0	84,0	638,0	610,0
ADEREZOS/CONDIMENTOS/ESPECIAS	MAYONESA (REDUCIDA EN CALORIAS)	 100,0 	172,0	0,0	15,0	9,3	0,0	400,0	0,0	135,0	37,2	172,2	172,2
ADEREZOS/CONDIMENTOS/ESPECIAS	MAYONESA REGULAR LA CONSTANCIA	 100,0 	680,0	1,0	74,8	0,6	0,0	635,0	3,8	673,2	2,3	679,3	679,3
ADEREZOS/CONDIMENTOS/ESPECIAS	MOSTAZA	 100,0 	69,0	4,3	3,4	5,3	4,3	1100,0	17,0	30,4	21,2	68,6	60,0
ADEREZOS/CONDIMENTOS/ESPECIAS	MOSTAZA DIJON	 100,0 	69,0	4,3	3,4	5,3	4,3	1100,0	17,0	30,4	21,2	68,6	60,0
ADEREZOS/CONDIMENTOS/ESPECIAS	NUEZ MOSCADA	 100,0 	525,0	5,8	36,3	49,3	20,8	16,0	23,4	326,7	197,2	547,3	505,7
